L1-1-1-BC,超距力：重力、地心引力、靜電力和磁力。<b>接觸力：施力者與受力者接觸的力。
L1-1-2-BC,塑膠尺摩擦衣物後可以將桌上的小紙屑吸起來，是因為摩擦的時候產生了靜電力。
L1-1-3-BC,磁力有兩端，一端叫做N極，一端叫做S極。
L1-1-4-BC,接觸力：用手拉或推動物體的拉力。
L1-1-5-BC,接觸力：用手拉或推動物體的拉力或推力，使氣球升空的浮力、摩擦力、扭乾濕毛巾，以及彈簧伸縮時的彈性恢復力。
L1-1-6-BC,接觸力：拉動彈簧時的拉力以及彈簧伸縮時的彈性恢復力
L1-2-1-BC,力對物體產生的影響稱為「力的效應」，分兩種：<b>1. 可以使物體的形狀或體積大小改變。<b>2. 使物體的運動狀態改變
L1-2-2-BC,力對物體產生的影響稱為「力的效應」，分兩種：<b>1. 可以使物體的形狀或體積大小改變。<b>2. 使物體的運動狀態改變
L1-3-BC,物體在地球上所受到的地球吸引力，稱為重力。質量1公克與1公斤重的物體，在地球表面受到的重力大小，定義為1公克重與1公斤重，又稱為千克重。
L1-4-BC,在一定的範圍內，彈簧伸長量和砝碼重量成正比，當移除外力時，彈簧仍可恢復原狀不會永久變形；在此條件下所能承受的最大外力稱為彈性限度，若超過彈性限度，會產生永久變形，且無法恢復原狀。
L1-5-BC,觸碰展示櫃後，使用者將會閱讀畫作框裡的內容。
L1-6-1-BC,當多個力同時作用在一個物體時，且該物體的形狀和運動狀態不再產生任何改變，表示這些力達到平衡狀態。當物體靜止或運動的快慢和方向皆保持不變，此時作用在該物體上的力達成平衡，合力為零。
L1-6-2-BC,當多個力同時作用在一個物體時，且該物體的形狀和運動狀態不再產生任何改變，表示這些力達到平衡狀態。當物體靜止或運動的快慢和方向皆保持不變，此時作用在該物體上的力達成平衡，合力為零。
L2-1-BC,一開始推木塊時，木塊並未移動，此時木塊與桌面存在靜摩擦力，木塊開始移動的瞬間即為最大靜摩擦力。
L2-2-BC,一開始拉動木塊時，發現木頭不會移動，表示木塊與桌面間有摩擦力，當拉力逐漸增加到某一限度時，木塊開始移動，此時物體與接觸面之間有最大摩擦力。
L2-3-BC,接觸面的性質及狀況，可以用摩擦係數來表示，摩擦力和摩擦係數及垂直作用在接觸面的正向力皆成正比。
L2-4-BC,接觸面的性質及狀況相同時，動摩擦力通常小於最大靜摩擦力。
L3-1-1-BC,海綿凹陷的程度與海綿所受的正向力大小和受力面積有關。
L3-1-2-BC,當一平面受到力的作用時，每單位面積所受正向力的大小，稱壓力，常用P表示：壓力=正向力除以受力面積。
L3-2-BC,靜止液體中，同一深度任一點來自各方向的壓力大小都相等。
L3-3-BC,液體能夠緊密接觸容器各部分並施予壓力，當水由小孔噴出時，各個方向的水柱都與瓶壁近乎垂直，在同一深度時，液體產生的壓力相同。液體在容器中的深度會影響液體壓力的大小，深度越深，液體壓力越大。
L3-4-BC,液體向上壓力=向左壓力=向右壓力=向下壓力=液體深度×液體單位體積的重量<b>液體壓力=液體深度×液體單位體積的重量(P=h×d)
L3-5-BC,為連通管不論從哪一端注入液體，每個容器內的液體必會在同一水平面上，不受容器的形狀、大小及粗細等因素影響。
L3-6-BC,密閉容器中的液體，當某部分加壓的時候，此壓力會以同樣的大小傳遞到液體各部份，此通則稱為帕斯卡原理。
L4-1-BC,大氣壓力會隨著高度的遞增而逐漸減小。
L4-2-BC,水銀柱的垂直高度代表大氣壓力的大小，在同樣的地點，不論玻璃管的口徑大小是否相同，或是否傾斜，水銀在玻璃管中的垂直高度都會維持在相同的高度。
L4-3-BC,1大氣壓=1atm=76公分水銀汞柱(76cmHg)
L4-4-BC,在一封閉容器中，任一點壓力均相等。
L4-5-BC,用吸管吸取飲料，以及用吸塵器除去灰塵和使用吸盤吊掛物品皆是大氣壓力的應用。
L5-1-1-BC,由於物體上下表面在液體中的深度不同，液體對上下表面所施的壓力也不同，因此產生向上的作用力，稱為浮力。
L5-1-2-BC,物體會有下沉、上浮或是不沉也不浮，物體放入流體中所獲得向上浮力，及物體向下重力之間的差值有關。
L5-2-1-BC,如果物體向下的重力大於物體所受到向上的浮力，則物體會下沉；如果物體向下的重力小於物體所受到向上的浮力，則物體會向上浮起；如果物體向下的重力等於物體所受到向上的浮力時，物體將不會下沉也不會上浮。
L5-2-2-BC,物體會有下沉、上浮或是不沉也不浮(即停留在液體中任一處)的各種情形，和物體放入流體中所獲得向上浮力，及物體向下重力之間的差值有關。
L5-2-3-BC,物體的密度大於液體的密度時，物體會下沉。物體的密度小於液體密度時，物體會上浮。當物體的密度與液體密度相等時，則物體不下沉也不上浮。
L5-3-1-BC,物體在液體中所受的浮力等於其所排開的液體重。
L5-3-2-BC,沉體：物體密度大於液體密度。<b>浮體：物體密度小於液體密度。
L5-4-BC,沉體所受浮力可表示為：<b>沉體=物體排開的液體體積x液體的密度。<b>浮體=物體沉下的體積X液體的密度
L5-5-BC,金為純物質，故其密度為一定質；當我們取相同質量的金時，兩者的體積也會相等。因此阿基米德可以利用排水法測量金冠與純金的體積，證明黃金的純度。
